ÀÎµ¦½º,¿ø±Û,³»¿ë
6674,3936,"¾ð´ÏÀÇ ÃÖ¾ÖÀ½½Ä°ú
ÃÖ°í·Î ½È¾îÇÏ´Â ¶Ç´Â ¸ø¸Ô´Æ À½½ÄÀÌ ±Ã±ÝÇØ¿ë!!"
6675,3937,¾ð´Ï ¸ö¹«°Ô 50³ÑÀ¸¸é ¾É¾Ò´Ù
6676,3937,ÀÏ¾î³µ´Ù 5¹ø¸¸ÇØÁÖ¼¼¿ä
6677,3938,Á¦¿­ÀÌ¶û »ì¸é ¼ú²÷±â VS ±âµ¿ÀÌ¶û »ì¸é ¼ú¸Ô±â
6678,3939,Å° ³ªÀÌ ¸îÀÌ¿¡¿ä
6679,3940,Çö¼­´Ô ¼ÖÁ÷È÷ ±âµ¿´Ô ¼ÓÀ¸·Î ¾öÃ» ÁÁ¾ÆÇÏÁÒ? ¤¾¤¾¤¾¤¾¤¾¤¾¤¾¤¾¤¾¤¾
6680,3941,Ç×»ó ÀÀ¿øÇÏ°í ÀÖ¾î¿ä!!!!
6681,3941,¾ð´Ï°¡ °¡Àå ÁÁ¾ÆÇÏ´Â ¸»Àº ¹«¾ùÀÎ°¡¿ä??
6682,3941,Èû³ª´Â ¸»ÀÌ³ª ¸í¾ðÀÌ³ª ±Û±Í°°Àº°Å¿ä!!!
6683,3942,²À1°³¸¸ °í¶ó¾ßÇÑ´Ù¸é ´ç½ÅÀº ¹«¾ùÀ» °í¸£°Ú½À´Ï±î?
6684,3942,"Ã¹¹øÂ°¹®Á¦:Ä¡Å²vsÇÇÀÚ
µÑ¹øÂ°¹®Á¦:¾ö¸¶vs¾Æºü
¼Â¹øÂ°¹®Á¦:ÀÚµ¿Â÷vsÁý






´äÀ» °í¸£°í ±×ÀÌÀ¯¸¦ ¾Ë·ÁÁÖ¼¼¿ä!!"
6685,3943,¹«¼­¿ö..
6686,3944,"Æò»ý ¸øÇÏ°í 70³â »ì±â
VS
ÇÏ°í 10³â »ì±â"
6687,3945,Çü´Ô 3´ë ¸î Ä¡½Ê´Ï±î
6688,3946,"1.ÇÖµµ±×½ºÆ©µð¿À vs ½ÉÀå¿¡¹ÚÇö¼­
2.À¯Æ©ºê¸¦ ÇÏ±âÀü ¹«½¼ ÀÏÀ»Çß³ª¿ä?"
6689,3947,¸ñ¼Ò¸® ±Ç±âµ¿ ¾ó±¼Ã¢¸ðVS¾ó±¼ Ã¢¸ð ÀÎ¼º ±Ç±âµ¿
6690,3948,ÁøÂ¥ ÂðÀ¸·Î ±âµ¿ÀÌÇüÀÌ¶û »ç±Í¾î¿ä??
6691,3949,"¸¸¾à »ç±Í°í °áÈ¥±îÁö »ý°¢Çß´Ù¸é ¾Ö±â¸¦ °¡Áö°í °áÈ¥ÇÏ±â
vs
°áÈ¥À» ÇÏ°í ¾Ö±â °¡Áö±â"
6692,3950,1. À¯Åõ¹ö¸»°í ´Ù¸¥ Á÷¾÷ÀÌ ÀÖ³ª¿ä??
6693,3950,ÀÖ´Ù¸é ¹«¾ùÀÎ°¡¿ä??
6694,3950,2. Á¦Èñ´Ô°ú ¾ðÁ¦ºÎÅÍ Ä£±¸¿´³ª¿ä??
6695,3950,3. ¼­¿ïÅä¹ÚÀÌ ÀÎ°¡¿ä??
6696,3951,hoxy ¿°»öÇÏ½Ç »ý°¢ ÀÖÀ¸½Å°¡¿ä?
6697,3951,¸¸¾à ÀÖ´Ù¸é ¹«½¼»öÀ¸·Î ÇÏ°í½ÍÀ¸½Å°¡¿ë??
6698,3952,"±Ç»çÀå(±Ç±âµ¿)´ÔÀÌ ÀßÇØÁÖ½Ç¶§ µç »ý°¢
1Á¶±Ý ¼³·¹´Âµ¥??
2ÀÌ¿ëÇØ ¸Ô¾î¾ßÁö!¤»¤»¤»¤»¤»"
6699,3953,Ä«·¹¸À ¶Ë vs ¶Ë¸À Ä«·¹
6700,3954,ÁÖ·®ÀÌ ¾ó¸¸Å­µÇ¼¼¿ë ??
6701,3955,¼¼»ó¿¡ ±Ç±âµ¿(´Ô) Á¤Àç¿­(´Ô)¿ì¼øPD(´Ô) ¸¸ ÀÖ´Âµ¥ ²À »ç±Í°Å³ª °áÈ¥À» ÇØ¾ßÇÑ´Ù¸é ´©±¸¶û ÇÏ½Ç·¡¿ä?
6702,3956,°¡²ûº¸¸é ¾ËÄá´ÞÄáÇÑ ÀçÁ¦Ä¿ÇÃÀÌ ºÎ·¯¿ï¶§µµ ÀÖ´Ù
6703,3957,"À¯Æ©ºê¸¦ ÇÏ°Ô µÈ °è±â ?
ÀÌ¸§À» ½ÉÀå¿¡ ¹ÚÇö¼­·Î Á¤ÇÑ ÀÌÀ¯ ?
À¯Æ©ºê ÇÏ´Â °Å¿¡ ´ëÇÑ ÁÖº¯ »ç¶÷ÀÌ³ª °¡Á· ¹ÝÀÀ ?
¾ÕÀ¸·ÎÀÇ °èÈ¹ÀÌ³ª ¸ñÇ¥ ?"
6704,3958,³»°¡ Á¦Èñº¸´Ù ¿¹»Ú´Ù VS Á¦Èñ°¡ ´õ ¿¹»Ú´Ù
6705,3959,"±Ç±âµ¿ ¿Ü°ü¿¡ Á¤Àç¿­ ³»°ü
vs
Á¤Àç¿­ ¿Ü°ü¿¡ ±Ç±âµ¿ ³»°ü
(°£´ÜÇÏ°Ô ¸»ÇÏ¸é
±Ç±âµ¿ ¾ó±¼¿¡ Á¤Àç¿­ ¼º°Ý
vs
Á¤Àç¿­ ¾ó±¼¿¡ ±Ç±âµ¿ ¼º°Ý)"
6706,3960,Ã¶¼ö°¡ ½Ã¼Ó 10kmÀÇ ¼Óµµ·Î ´Þ¸®°í ¿µÈñ°¡ ½Ã¼Ó 20kmÀÇ ¼Óµµ·Î ´Þ¸±¶§ ¿µÈñÀÇ ½Å¹ß ºê·£µå´Â?
6707,3961,"Ã¥»ó À§¿¡ »ç°ú°¡ 10°³, ¹è°¡ 7°³, µþ±â°¡ 3°³ ÀÖ´Ù."
6708,3961,"Ã¶¼ö°¡ »ç°ú 5°³, ¹è¸¦ 3°³ ¸Ô¾úÀ»µû, ¿µÈñ´Â ¿À·£Áö¸¦ ¸î°³ ¸Ô¾úÀ»±î?"
6709,3962,±Ç±âµ¿ ÀÌ¶û »ç±Ñ?
6710,3963,³ª´Â ±Ç±âµ¿ÀÌ ³ª¸¦ ÁÁ¾ÆÇÏ¸é »ç±ÐÀÇÇâÀÌ ÀÕ´Ù ¿À¿¢½º
6711,3964,¾ÕÀ¸·Îµµ °è¼Ó À¯Æ©¹ö¸¦ ÇÒ»ý°¢ÀÎÁö?
6712,3964,±Ã±ÝÇØ¿ä
6713,3965,"À¯Æ©ºê¸¦ ÇÏ°ÔµÈÀÌÀ¯!
À¯Æ©¹ö°¡ µÈ ÀÌÀ¯¿ä!"
6714,3966,±âµ¿´Ô Á¤Àç¿­´Ô Áß ´©°¡ ´õ ³ª¾Æ¿©
6715,3967,Çâ¼ö ¹¹¾²¼¼¿©¿À
6716,3968,ÁøÁöÇÏ°Ô ±Ç±âµ¿´ÔÀÌ »ç±ÍÀÚ°íÇÏ¸é ¹Þ¾ÆÁÖ½Ç ÀÇÇâÀÖÀ¸½Å°¡¿ä
6717,3968,%·Î µûÁö¸é
6718,3969,¿Ö ±×·¸°Ô ÀÌ»Ú°í ±Í¿±°í »ç¶û½º·¯¿ì¼¼¿ä ??????
6719,3970,Å° ¸ö¹«°Ô°¡ ¾î¶»°Ô µÇ³ª¿ä?
6720,3971,Çö¼­´Â Á¦Èñº¸´Ù ³»¸é ¿Ü¸é ¸ðµÎ ´õ ÀÌ»Ú´Ù ¸Â´Ù ¾Æ´Ï´Ù?
6721,3972,È¸»ç¿¡¼­ ¾î¶² ÀÏÀ» ÇÏ°í ÀÖ´ÂÁö°¡ ±Ã±ÝÇØ¿ä.
6722,3973,ÀÚÁÖ ÀÌ¿ëÇÏ´Â ¼îÇÎ¸ôÀÌ³ª ¿Ê¾îµð¼­ »ç´ÂÁö ±Ã±ÝÇØ¿© ¤¾??¤¾??
6723,3974,´ã¹è ¹¹Æì¿ä?
6724,3975,Çö¼­ ´©³ª ¸ö¹«°Ô
6725,3976,Áö±Ý ±îÁö »ç±Ï ³²ÀÚÄ£±¸´Â ¸î¸í...?
6726,3977,À¯Åõºê ±×¸¸µÎ¸é ÇØº¸°í ½ÍÀº ÀÏ
6727,3978,Á¦ÀçÄ¿ÇÃvsµ¿¶°Ä¿ÇÃ ¾î¶²Ä¿ÇÃÀÌ ´õ Àß¾î¿ï¸°´Ù°í »ý°¢ÇÏ³ª¿ä???
6728,3979,"1,±âµ¿ÀÌ¶û »ç±Ð»ý°¢ÀÖÀ¸¼¼¿ä?"
6729,3979,"2,ÇÖµµ±×ty,½ºÆ®µð¿À ¾îµð°¡ÁÁ¾Æ¿©?
3,º¯ÅÂ¿¡¿ä?"
6730,3979,"4,À¯Æ©ºê ½ÃÀÛÇÏ°Ô‰Â °Ô±â´Â?
5,ÇÖµµ±×,½ºÆ©µð¿À¿¡ ÃëÁ÷ ÇÏ°Ô‰Â ÀÌÀ¯"
6731,3980,»ç¶ûÇØ¿ä
6732,3981,½Â¹«¿ø µÇ°í½ÍÀºµ¥ »ç¶÷µéÀÌ ´ëºÎºÐ ½Â¹«¿ø ¹«½ÃÇÏ´Â ºÐÀ§±â¿¡¿ä..
6733,3981,µÉ±î¿ä
6734,3981,µÇÁö¸»±î¿ä
6735,3981,¾ð´Ï Á¶¾ðÁ»¿ä
6736,3982,Ã¢¸ð´Â Á¸³ª ÁÁÀºµ¥ »ç±ÍÁöµµ¸øÇÏ°í °áÈ¥µµ ¸øÇØ¼­ ¿ì¿ïÇÏÁø ¾ÊÀ¸½ÅÁö..
6737,3982,Àü ´©°¡´©°¡Åº»ý½ÃÅ²¹«½¼´Ü¶§¹®¿¡ Á» ±×·¡¿ä..
6738,3982,¸¹ÀÌ ÁöÃÄ°¡¿ä..
6739,3983,Ä¡µ· °íµ· °íÄ¡µ· (µ‚1)
6740,3984,ÇÖµµ±×¿¡¼­ Á¦Èñ¾ð´Ï¶û °°ÀÌ ±Ç·ÂÀâ°í ±Ç±âµ¿ Á¤Àç¿­ ¸ô¾Æ³¾ °èÈ¹ ÀÖÀ¸½ÅÁö
6741,3985,´©³ª ÆäºÏ Ä£Ãß ¹Þ¾ÆÁà¼­ °í¸¶¿ö¿ä
6742,3986,¿À´ÃÀÇ TMI !!!
6743,3987,ÀÌ ´ñ±ÛÀÌ ³ª°¡°Ô ÇØÁÖ¼¼¿ä
6744,3988,º»ÀÎÀÌ »ý°¢ÇÏ´Â ³²ÀÚ·Î¼­ ±Ç±âµ¿Àº?
6745,3989,"±Ç±âµ¿ÀÌ¶û °áÈ¥ÇÏ±â 
VS 
Á¤Àç¿­ÀÌ¶û °áÈ¥ÇÏ±âÁß °ñ¶óÁÖ¼¼¿ä"
6746,3990,±Ç±âµ¿´ÔÀÌ¶û ½Ã±Ð »ý°¢Àº ¾øÀ¸¼¼¿ä???
6747,3991,±âµ¿´Ô¿¡ ´ëÇÑ Áø½ÇµÈ ¸¶À½ ¾Ö±âÇØÁÖ±â
6748,3992,±Ç±âµ¿´ÔÀ»ÁÁ¾ÆÇÏ°íÀÖ³ª¿ä?
6749,3993,"Q. ÇÖµµ±× ½ºÆ©µð¿À ¸â¹öµé°ú ¾î¶»°Ô Ä£ÇØÁ³´ÂÁö, ÃÔ¿µ°è±â
Q. À¯Æ©¹ö µÇ±â Àü Á÷¾÷Àº ¹«¾ùÀÌ¿´´ÂÁö, Á¦2ÀÇ Á÷¾÷(?)À¸·Î ÇÏ°í½ÍÀº ÀÏÀº ¹«¾ùÀÎÁö
Q. Ä£ÇÏ°Ô Áö³»°í½ÍÀº ´Ù¸¥ À¯Æ©¹öºÐµéÀÌ ÀÖ´ÂÁö

¾ð´Ï ³ª¸§ ½ÅÁßÇÏ°Ô Àû¾ú¾î¿ä ?"
6750,3993,²¿¿Á ´äº¯ÇØÁÖ¼¼¿ä
6751,3994,±Ç±âµ¿À» ³²ÀÚ·Î º»ÀûÀÌ ÀÖ´Ù
6752,3994,¾ø´Ù
6753,3995,±âµ¿´ÔÀÌ¶û °áÈ¥ÇÏ±â vs Àç¿­´ÔÀÌ¶û °áÈ¥ÇÏ±â
6754,3996,"ÇÑ¸íÀ» ±â¾ï¼Ó¿¡¼­ Áö¿ö¹ö·Á¾ß ÇÑ´Ù¸é?
       ±Ç±âµ¿VSÁ¤Àç¿­"
6755,3997,À¯Åõºê¸¦ ÇÏ±â°Ç ½ÃÀÛ °è±â ±×¸®°í ÇÏ±âÀü Á÷¾÷
6756,3998,Æò»ý ¼ú¾È¸Ô±â ´ë Æò»ý ±Ç±âµ¿ ¿©Ä£À¸·Î»ì±â
6757,3999,¾Ë±¼¼øÀ§ Á¤Àç¿­ ¿ì¼øPD ±Ç±âµ¿ ²ÀÇØÁÖ¼¼¿ë
6758,4000,¤Ó.Çö¼­´ÔÀº ³²Ä£¾ø³ª¿ä?
6759,4000,"2.Çö¼­´Ô ¼¼»ó¿¡¼­ ÇÑ¸íÀÌ¶û²À»ç°Ü¾ßµÇ¸é
±Ç±âµ¿vsÁ¤Àç¿­vs¿ì¼ø´Ô?"
6760,4001,Ã¢¸ðvs±Ç±âµ¿
6761,4002,¾ð´ÏÀÇ ÃÖ¾Ö À½½Ä Á¶ÇÕ(²ÜÆÁ..? ¾ð´Ï¸¸ÀÇ Á¶ÇÕ)
6762,4003,¸î»ì ÀÌ½Å°¡¿ä?
6763,4004,Çö¼­´Ô ¼ºÇü ÇÏ¼Ì³ª¿ë?
6764,4005,À¯Æ©¹ö È°µ¿ ¾ðÁ¦±îÁö ÇÏ½Ç°Ç°¡¿ä??
6765,4005,Æò»ýÇØÁÖ¼¼¿ä!!!
6766,4005,Àç¹Õ¾îŸD¤»¤»¤»¤»¤»
6767,4006,³²Ä£ÀÖ¾î¿ä?
6768,4007,ºô¾ú¾îvs¸ÞÅ×¿À
6769,4008,¸Ó¸® ÁøÂ¥ ¾ð´Ï¸Ó¸®¿¡¿ä?
6770,4008,°ü¸®¾î¶»°ÔÇÏ¼¼¿ä?
6771,4008,¹øÈ£µûÀÎÀûÀÖ¾î¿ä?
6772,4008,"Çä¤¡ ¾î¶ßÄ»
À¯Æ©ºê ¾ÈÇßÀ¸¸é Áö±ÝÂë ¹¹ÇÏ°íÀÖÀ»°Å°°¾Ö¿ä?"
6773,4008,¹Ù¼±»ýÀÌ¶û ÇÑ´Þµ¿°Å vs ±âµ¿ÀÌ¶û ÇÑ´Þµ¿°Å
6774,4009,"Á¤Àç¿­ÀÌ¶û ¼ú¾Ê¸Ô°í »ì±â VS ±Ç±âµ¿ÀÌ¶û ¼ú¾Ê¸Ô°í »ì±â  VS ¿ì¼øPD¶û ¼ú¾Ê¸Ô°í »ì±â VS Á¤Àç¿­,±Ç±âµ¿,¿ì¼øPD  ¶û °°ÀÌ »ì°í ¼ú¸Ô±â"
6775,4010,1.Çö¼­¾ð´Ï Ä³¸¯ÅÍ ¸¸µé½Ç »ý°¢Àº ¾ø¾î¿ä?
6776,4010,((Á¦°¡ ¸¸µé¾î µå¸®°í½Í³×¿ä
6777,4010,/// Á¦°¡ ÀÎ¹°È­´Â ¸ø±×·Áµµ Ä³¸¯ÅÍ´Â Àß±×¸®´Â ÆíÀÌ¶ó¼­!!))
6778,4010,2.¸î»ìÀÌ½Å°¡¿ä?
6779,4011,±Ç±âµ¿ÇÏ°í °áÈ¥ÇÏ°í ÇÖµµ±×´Ù´Ï±âvs ¿ì¼øPDÇÏ°í ÇÖµµ±× ±×¸¸µÎ°í ´Ù´Ï±â
6780,4012,"²À ÇÑ À½½Ä¸¸ ¸Ô°í »ì¾Æ¾ß µÈ´Ù¸é
¿ÀÀÌ vs Àç¿­´Ô ¿ä¸® vs È«¾î vs ±âµ¿´Ô ¿ä¸®"
6781,4013,Àç»ê 1000¾ï ±Ç±âµ¿ vs Àç»ê 1000¸¸¿ø Ã¢¸ð
6782,4014,¾î¶»°Ô À¯Æ©¹ö°¡ µÇ¼Ì³ª¿ä?
6783,4015,¾ð´Ï ±¸µÎ µî ÀÎ»ý½Å¹ß ÃßÃµÇØÁÖ¼¼¿ä
6784,4016,À¯Æ©ºê ½ÃÀÛÇÑ °è±â°¡ ±Ã±ÝÇØ¿ä !
6785,4017,±Ç±âµ¿´ÔÀÌ¶û ºñÁî´Ï½º¿¡¿ä
6786,4017,¾Æ´Ô ÁøÂ¥ ¸¶À½ÀÌ µÑ´ÙÀÖ´Â°Ç°¡¿ä.....
6787,4017,(¾ó¸¶Àü¿µ»ó Á¦¸ñ¿¡ ³²»çÄ£ÀÌ¶ó ½áÁ®ÀÖ¾îµµ ¸¶À½ÀÌ ÀÖ´Â°Å°°Àº....)
6788,4018,±âµ¿´ÔÀ» »ç¶ûÇÏ±â vs Àç¿­´ÔÀ» »ç¶ûÇÏ±â
6789,4019,¹Û¿¡¼­ ¿ì¿¬È÷ ¸¸³ª¸é ÀÎ»ç ¹Þ¾ÆÁÖ½Ã³ª¿ä...?
6790,4020,Á¦Èñ´Ô°ú ¿ìÁ¤Ã¤³Î ¸¸µé±âvs±âµ¿´Ô°ú Ä¿ÇÃÃ¤³Î¸¸µé±â
6791,4021,ÁøÂ¥ ÀÏÁø Ãâ½ÅÀÎ°¡¿ä?
6792,4022,1.¼ÓÁ÷È÷ ±âµ¿´ÔÇÑÅ× ¼³·»ÀûÀÖ´Ù
6793,4022,/¾ø´Ù
6794,4022,2.¾ð´Ï Áö±Ý ÁÁ¾ÆÇÏ´Â »ç¶÷ÀÖ¾î¿ä?
6795,4022,±×·³ ´©±¸¿¡¿ä?
6796,4022,3.¾ð´Ï ±âµ¿´ÔÀÌ¶û »ç°ÜÁÖ½Ã¸é ¾ÈµÇ¿ä?
6797,4023,³ª ¹ÚÇö¼­´Â ±Ç±âµ¿¿¡°Ô »ç¶ûÇÏ´Â °¨Á¤À» ´À³¤ ÀûÀÖ´Ù
6798,4023,(¸î¹ø)
6799,4024,Á¦ ÄáÆÏÇÏ³ª ¶§µå¸±±î¿ä
6800,4025,Á¦ ÇÚµåÆù¾îµð°¬³ª¿ä?¶ó°íÁú¹®ÇÒÁÒ¾Ë¾ÒÁÒ ¿ªÀ¸·Î Çö¼­´ÔÇÚµåÆùÀº ¾îµ÷ÁÒ?¶ó°íÁú¹®ÇÒ·Á ±×·§´Âµ¥ ÀÌ°Íµµ Áú¹®ÇÏ±â½È¾îÁ³¾î¿ä
6801,4025,°á·ÐÀº ¾È³çÇÏ¼¼¿ä
6802,4026,¾î¶»°Ô ÇØ¼­ À¯Æ©ºê ÀÌ¸§ÀÌ ½ÉÀå¿¡ ¹ÚÇö¼­°¡ µÆ³ª¿ä?
6803,4027,Çö¼­´Ô ±âµ¿´Ô Ä«Åå ÀÌ¸§À» ¾î¶»°Ô Çß³ª¿ä?
6804,4028,Çö¼­´Ô Æ½Åå ÇØº¸½Ç»ý°¢¾ø³ª¿ë?? ¿µ»ó ¿Ã·Á¼­ ÁÁ¾Æ¿ä
6805,4028,"ÆÈ·Î¿ö ´­¸£´Â °Çµ¥ ÀÎ±â°¡¸¹À»°Í °°¾Æ¼­¿ë

±×¸®°í ²À °ñ¶óÁÖ¼¼¿ë

±Ç±âµ¿´ÔÇÏ°í °áÈ¥ÇÏ±â
               Vs
°­Á¦Èñ´Ô ÇÏ°í ¼ÕÀýÇÏ±â"
6806,4029,±âµ¿´ÔÀÌ¶û °áÈ¥ÇØ¼­ Àç¿­´ÔÀÌ¶û ¹Ù¶÷ÇÇ±â vs Àç¿­´ÔÀÌ¶û °áÈ¥ÇØ¼­ ±âµ¿´ÔÀÌ¶û ¹Ù¶÷ÇÇ±â
6807,4030,¶²¶°¾ð´ÏÀÇ ¿¹»Û ¿Ü¸ð ºñ°áÀº ¹º°¡¿ä?????
6808,4031,"±Ç±âµ¿ÀÌ °¡Àå ½È¾úÀ»¶§°¡ ¾ðÁ¨°¡¿ä,"
6809,4032,¹ÎÁö PD´ÔÀÌ ÇÖµµ±×¿¡¼­ ³ª°¡°Ô µÈ ÀÌÀ¯
6810,4033,"´ç½ÅÀº žÍÄÉ ±Í¿©¿î°ÅÁÒ,,? 
¾îÂ°¼­ Á¦ ½ÉÀå¿¡ ¹ÚÇô(Çö)¼­ ºüÁöÁú ¾Ê´Â°ÅÁÒ,,
»©´Â ¹æ¹ý Á» ¾Ë·ÁÁÖ¼¼¿ä??"
6811,4034,±âµ¿ÀÌ¶û »ç±Í±â Ã¢¸ð¶û »ç±Í±â
6812,4035,³²ÀÚÄ£±¸ ¸î¹ø »ç°ÜºÃ³ª¿ä??
6813,4036,¡°³»°¡ »çÂ¡ÀÌ µÈ´Ù¸é ±Ç±âµ¿°ú Á¤Àç¿­¿¡°Ô [      ]¸¦ ÇÒ °ÍÀÌ´Ù¡± [      ]´Â º¹¼ö? °°Àº °Å¿ä~~
6814,4037,±âµ¿´ÔÀÌ¶ûÁ¦Èñ´ÔÀÌ¶ûÅ°ÀçÁÖ¼¼¿ä.
6815,4038,±âµ¿´Ô¿¡°Ô ÀÌ¼ºÀû¸Å·ÂÀ» ´À³¤ÀûÀÌ ÀÖ³ª¿ë ??
6816,4039,ÅæÀÌ¿ä.
6817,4039,È­ÀåÇÒ¶§ Åæ. ÀÌ¿ÕÀÌ¸é ¼¼ºÎÅæ±îÁö ´Ù¿ä.
6818,4039,+Å°
6819,4040,ºñÁö´Ï½º ³Ê¹« ÀßÇÏ½Ã´Â ºñ°áÀÌ ¹º°¡¿ä??
6820,4041,"¿Â´ÏŸå,,!!!!!Áú¹®Àº ¸ð¸£°Ú°í ±×³É ¾ð´Ï°¡ ³Ê¹« ÁÁ¾Æ¿ë ¤Ð ¤Ð ¤Ð½ÉÀå¿¡¹ÚÇö¼­ ±â´Ù¸®´Ù°¡ ÀÏÁÖÀÏ Áß ÇÏ·ç°¡ »ç¶óÁ³¾î¿ä,,"
6821,4041,"±×³à¸¦ ±â´Ù¸®´Ù ¡®¸ñ¡¯ÀÌ ºüÁ®¹ö·ÈÀ¸´Ï±î,,??"
6822,4042,"³ªÀÌ ¸ö¹«°Ô Å°
Á¤Àç¿­VS±Ç±âµ¿VS¿ì¼ø"
6823,4043,¾ð´Ï´Â ÃÖ°í¾ß Ç×»ó Çàº¹ÇßÀ¸¸éÇØ? ((¾ÇÇÃµéÀº ´«ÀÌ °É·¯ÁÖ±æ))
6824,4044,Çö¼­¾ð´Ï´Â ¿ÖÀÌ·¸°Ô ÀÌ»µ¿ä?¤Ð
6825,4045,"´Ù½Ã ÅÂ¾î³­´Ù¸é 
±Ç±âµ¿ÀÇ ¾Æ³» vs Á¤Àç¿­ÀÇ ¾Æ³»"
6826,4046,°³±¸¸® °³ÇØÇÇÇØÇÇÇØ º¸ÀÌ³×
6827,4047,Çö¼­¢½
6828,4048,1. ¸î»ìÀÌ½Å°¡¿ä?
6829,4048,2.À¯Æ©ºê´Â ¾îÂ¼´Ù ½ÃÀÛÇÏ°Ô µÇ½Å°ÇÁö ±Ã±ÝÇØ¿ä!
6830,4048,3.Å°°¡ ¾î¶»°Ô µÇ¼¼¿ä?
6831,4048,4. ±¸µ¶ÀÚ ¾ÖÄªÀº ¿Ö ÄáÆÏÀÌµé ÀÎ°¡¿ä??
6832,4049,Çö¼­´ÔÀÌ ºÃÀ»¶§ °³ÀÎÀûÀ¸·Î Àß»ý±èor¸ø»ý±è
6833,4050,Á¤Àç¿­°ú Á¤¸» »ç±ÐÀÇÇâÀÌ ÀÖ´Ù
6834,4050,¾ø´Ù
6835,4050,ÀÖ´Ù¸é ¸îÆÛ?
6836,4051,¹é¤µ¾Æ´Ï..
6837,4051,"Çö¼­´Ô À¯ÅúÇÏ±âÀü¿¡ ÇÏ°í½ÍÀº ÀÏÀÌ¹«¾ùÀÌ¿´Á®?
¶Ç º¸¹°¼¶Àº Æò¼Ò¿¡ ÀÚÁÖº¸½Ã³ª¿ä?"
6838,4051,¾Æ´Ô ´õºíºñ³ª¤»¤»
6839,4052,´©³ª À¯Æ©ºê ±¤°í¿¡ µþÀÌ Áý¿¡¼­ ¾È³ª°£´Ù¸é °­Ãß ÀÌ ¿µ»ó ±× µþÀÌ ´©³ªÁÒ??
6840,4053,¿Ö ¸ø»ý°åÁö ¾ÈÁö ¾ÈÁö ¾ÈÁö ¾È¾Æ¿ä?
6841,4054,Àç¿­´Ô°ú Á¦Èñ´Ô Ä¿ÇÃ ÀÀ¿øÇÏ½Ã³ª¿ä???
6842,4055,"±Ç±âµ¿¾ó±¼¿¡ Ã¢¸ð(¼º°Ý,Å°)vs Ã¢¸ð¾ó±¼¿¡ ±Ç±âµ¿(¼º°Ý,Å°)"
6843,4056,Çö¶°´Ô ±âµ¿¿Àºü ÁÁ¾ÆÇØ¿ä?
6844,4057,¾ð´Ï Æò¼ÒÀÔ´Â ¿Ê Á¤º¸ °¡°Ý!! ·»Áîµµ¿ä!
6845,4058,¾ð´Ï ¼¨µµ¿ì Á¤º¸¿ä!
6846,4059,1.ÆÒ¹ÌÆÃ°°Àº°Å ÇÏ½ÇÀÇÇâ ÀÖÀ¸½ÅÁö??
6847,4059,2.±âµ¿´ÔÀÌ¶ûÀº ¾î¶»°Ô ±×·¸°Ô Ä£ÇØÁ³´ÂÁö??
6848,4059,3.Á¦ÈñÀç¿­ÀÇ ºñ¹æ µ¥ÀÌÆ®¸¦ ¸ñ°ÝÇÏ½ÅÀûÀÌ ÀÖ´ÂÁö?!
6849,4060,"ÇÖµµ±×¿¡¼­ Á¦ÀÏ Àß »ý±ä »ç¶÷!! (ÇÇµð Æ÷ÇÔ)
¿¹»Û»ç¶÷Àº º»ÀÎ ÇÏ½Ç °Í °°¾Æ¼­..¤¾¤¾"
6850,4061,»ý¾ó·Î ÄáÆÏÀÌµé ¸¸³ª±â vs ±Ç±âµ¿°ú °áÈ¥ÇÏ±â  Á¤¸»±Ã±ÝÇÏ³×¿ä ^^
6851,4061,±Ø°ú±Ø
6852,4062,¼ÖÁ÷È÷ ±Ç±âµ¿º¸´Ù Á¤Àç¿­ÀÌ ´õ ÁÁ´Ù
6853,4063,¼ú¸¶½Å °­Á¦Èñ Áý¿¡ µ¥·Á´ÙÁÖ±â VS ±Ç±âµ¿ÀÌ¶û ÇÏ·çÁ¾ÀÏ ÀÔÅÐ±â VS Á¤Àç¿­ÀÌ¶û Æ®¿ùÅ·Ãß±â
6854,4064,¿ÊÀº ÁÖ·Î ¾îµð¼­ ±¸¸ÅÇÏ½Ã³ª¿ä?
6855,4064,Ã¢¸ð´Ô ¾ðÁ¦ºÎÅÍ ÁÁ¾ÆÇÏ°Ô ‰ç³ª¿ä?
6856,4064,Çö¼­´Ô Á¦ ½ÉÀå¿¡ ¹ÚÇû¾î¿ä??????
6857,4065,"±Ç±âµ¿ÀÌ °í¹éÇÏ¸é?
¹Þ¾ÆÁØ´Ù , ´ç¿¬È÷ ¹Þ¾ÆÁØ´Ù"
6858,4066,½ÉÀå¿¡¹ÚÇö¼­ ±×¸¸µÎ±â VS ÇÖµµ±×½ºÆ©µð¿À ±×¸¸µÎ±â
6859,4067,"°¡½¿µÑ·¹º¸´Ù ¸Ó¸®µÑ·¹ ´õ Å©³Ä°í ... ??? Àú·±¸»Àº ÇØµµ µÇ´Â °ÅÀÓ ? .. ,,"
6860,4068,¾ß½Ä Á·¹ßvsÄ¡Å² ¹»¸ÔÀ»±î¿©
6861,4069,±Ç±âµ¿ vs ¹ÚÇö¼­
6862,4070,¿¬ºÀÀº?
6863,4071,±×µ¿¾È ¸ÅÀÏÁ¦È÷ ±¸µ¶ÀÚ ¼ö¿¡ ¿­µî°¨ ´À³¤Àû ÀÖ´Ù
6864,4071,¾ø´Ù
