ÀüÃ¼ ÀÎµ¦½º,Ã¤³Î¸í,Ã¤³ÎÀÎµ¦½º,±ÛÀÎµ¦½º,´ñ±Û³»¿ë,ÁÁ¾Æ¿ä
3297,µð¹Ù°É½º,592,0,Á¦´Ï¾ð´Ï´Â ¿°»öÀ» ¸î¹ø Çß¾î¿©?,0
3298,µð¹Ù°É½º,593,0,¹ºµç ÆÐ°í ½ÍÀº ¸¸Å­ Â¥Áõ³­ ¼ø°£µéÀÌ³ª ³¯,0
3299,µð¹Ù°É½º,594,0,"1.µð¹Ù°É½º ¿µ»óÂïÀ»¶§¸¶´Ù »çÀÌÁÁ°Ô ³ª¿À´Âµ¥ ½ÇÁ¦·Îµµ »çÀÌ ÁÁÀº°¡¿ä?¤»¤»¤» 
2.ÆÒ¹ÌÆÃ °èÈ¹Àº ¾øÀ¸½Å°¡¿ä?
3.±×·¡µµ ½ºÅäÄ¿´Â Á¶½ÉÇÏ¼¼¿ä ¾ð´Ïµé ¢¾.¢¾
½ºÅäÄ¿ ¾øÁö¾Ê¾Æ ÀÖÀ»ÅÙµ¥ ÀÌ»óÇÑ °æÇèÀÖ¾ú´ÂÁö ±Ã±ÝÇØ¿ä!",0
3300,µð¹Ù°É½º,595,0,"µð¹Ù°É½º ÃÔ¿µÀ» ÇÒ ¶§ Á¦½ÃÄ«¾ð´Ï´Â Á¦´Ï ¾ð´Ï¿¡°Ô, Á¦´Ï¾ð´Ï´Â Á¦½ÃÄ«¾ð´Ï¿¡°Ô, ºÒÆíÇÑ Á¡ÀÌ³ª °íÃÄÁáÀ¸¸é ÇÏ´Â ºÎºÐÀÌ ÀÖ³ª¿ä?",0
3301,µð¹Ù°É½º,596,0,Q.µÎ ºÐÀÌ ¾Ö¿Ïµ¿¹°(»ç¶ûÀÌ¿Í º¸´Ï)À» Å°¿ì°Ô µÇ °è±â°¡ ±Ã±ÝÇØ¿ä!!!,0
3302,µð¹Ù°É½º,597,0,¾ð´Ïµé °¡Àå ¸¹ÀÌ »ç´Â ¿Êºê·£µå°¡ ¹¹¿¹¿µ??,0
3303,µð¹Ù°É½º,598,0,"²À ´äÇØÁÖ¼¼¿ä.. ÁøÂ¼ ±Ã±ÝÇß´ø Áú¹®ÀÌ¿¹¿ä!!
?? ¾ÆÁ÷µµ Ä©¼Ö °°ÀÌ ¾²½Ã³ª¿ä?
??µÎºÐ´Ù ³²ÀÚÄ£±¸ ÀÖÀ¸½Å°¡¿ä?
??¿Ö ÀÌ·¸°Ô ¿¹»Ú½Å°¡¿ä?
??Á¦´Ï´ÔÀÌ ¾Ö±â¾ß ¶ó°í ºÎ¸£°Ô µÈ °è±â(¾ðÁ¦ºÎÅÍ)
??²À ´äÇØÁÖ¼¼¿ä!! ÁøÂ¥ ±Ã±ÝÇß¾î¿ä!!",0
3304,µð¹Ù°É½º,599,0,Àú Áö±Ý Æù ÀÒ¾î¹ö·È¾î¿ä¤Ì¤Ð¤Ð,0
3305,µð¹Ù°É½º,600,0,¾ð´Ïµéµµ ´ÙÀÌ¾î¸®¸¦ ²Ù¹Ì½Ã³ª¿ä?,0
3306,µð¹Ù°É½º,601,0,Á¦ ÇÚµåÆù¾îµð½á¿ä,0
3307,µð¹Ù°É½º,602,0,ÆÛ½º³Î ÄÃ·¯ ¿µ»ó Âï¾îÁê¼¼¿ë!!,0
3308,µð¹Ù°É½º,603,0,À¯Æ©ºê ÇÑ°è±â°¡ ¹º°¡¿ä??,0
3309,µð¹Ù°É½º,604,0,"È¤½Ã µð¹Ù¾ð´ÏµéÀº ps4ÀÖ³ª¿ä?
ÀÖ´Ù¸é  dgmax°ÔÀÓ¾Æ½Ã³ª¿ä?
dgmaxÀç¹Õ¾î¿ë",0
3310,µð¹Ù°É½º,605,0,³ªÀÌ°¡  ¸î»ìÀÌ¿¡¿ä?,0
3311,µð¹Ù°É½º,606,0,ÇÚµåÆù ±âÁ¾ÀÌ ¸ð¿¡¿ä?,0
3312,µð¹Ù°É½º,607,0,µð¹ÙÁ¦½ÃÄ« ¾ð´Ï ¿Ö ¸ñ ÀÖ´Â ÂÊÀÌ »¡°£°¡¿ä??,0
3313,µð¹Ù°É½º,608,0,µÎºÐÀº ¿°»ö ¸î¹ø ÇÏ¼Ì¾î¿ä?,0
3314,µð¹Ù°É½º,609,0,"ÀÌ·±°Å ¹°¾îºÁµµ µÇ´ÂÁö ¸ð¸£°ÚÁö¸¸
³ªÀÌ´Â ¾î¶»°ÔµÇ½Ã°í,º»¸íÀº ¹«¾ùÀÎ°¡¿ä?",0
3315,µð¹Ù°É½º,610,0,"Á¦½ÃÄ«´ÔÀº
È­ÀåÇ°,¿Ê ¾îµð ºê·£µå ÁÁ¾ÆÇÏ¼¼¿ä?
Á¦´Ï´ÔÀº
È­ÀåÇ°, ¿Ê ¾îµð ºê·£µå ÁÁ¾ÆÇÏ¼¼¿ä?",0
3316,µð¹Ù°É½º,611,0,"µð¹ÙÁ¦½ÃÄ«´Ô°úµð¹ÙÁ¦´Ï´ÔÀÌ¶û
°°ÀÌ ÆÒ¹ÌÆÃ ÇÒ °èÈ¹ÀÖÀ¸½Å°¡¿ä?",0
3317,µð¹Ù°É½º,612,0,Á¦´Ï¾ð´Ï´Â ¸Ó¸® ±â¸¦ »ý°¢ÀÎ°¡¿ä??,0
3318,µð¹Ù°É½º,613,0,ÀÚ¸Å³¢¸® ½Î¿ì¸é È­ÇØÇÏ´Â¹æ¹ýÀÌ¿ä!!,0
3319,µð¹Ù°É½º,614,0,¹«½¼ ±èÄ¡¸¦ Á¦ÀÏ ÁÁ¾ÆÇÏ½Ã³ª¿ä,0
3320,µð¹Ù°É½º,615,0,µð¹ÙÁ¦½ÃÄ«´Ô ÀÚ±â ½º½º·Î ¿¹»Ú´Ù°í»ý°¢ÇÏ³ª¿ä?  Á¦¹ßQNA¿¡ ³Ö¾îÁÖ¼¼¿ä!,0
3321,µð¹Ù°É½º,616,0,°íÄ¡°í ½ÍÀº ³ª»Û ½À°ü ÀÖ³ª¿ä??,0
3322,µð¹Ù°É½º,617,0,Á¦´Ï´Ô Á¦½ÃÄ«´Ô µÎºÐÀÇ ³ëÈÄ°èÈ¹Àº ¾î¶»°Ô µÇ½Ã³ª¿ä?? ¾ðÁ¦±îÁö ¹æ¼ÛÀ» ÇÏ½Ç ¿¹Á¤ÀÌ½Å°¡¿ä??,0
3323,µð¹Ù°É½º,618,0,"Q&A°í ¹¹°í ±×³É Á¦ ÀÌ¸§ ÇÑ¹ø ¿µ»ó¿¡ ¶ç¿ö ÁÖ¼¼¿ä.
»ç¶ûÇÕ´Ï´Ù.¢½",0
3324,µð¹Ù°É½º,619,0,Àú ÀÌ¸§ ºÒ·¯ÁÖ¼¼¿© ¼ö¹Ì¾ß¢½,0
3325,µð¹Ù°É½º,620,0,»ì¸é¼­ ´Ü ÇÑ¹øÀÌ¶óµµ ³²ÀÚ¿¡°Ô °í¹éÇÏ°í Â÷ÀÎÀûÀÌ ÀÖ³ª¿ä???,0
3326,µð¹Ù°É½º,621,0,Áö±Ý±îÁö ÂïÀ¸¼Ì´ø µð¹Ù°É½º ¿µ»óÁß °¡Àå Àç¹Õ¾ú´ø ¿µ»óÀº ¹º°¡¿ä?? ÃßÃµÇØÁÖ¼¼¿ä¢½ ¶Ç º¼·¡¿ä ¤¾¤¾,0
3327,µð¹Ù°É½º,622,0,Á¦ÀÏ ÁÁ¾ÆÇÏ´Â À½½ÄÀº!?!?,0
3328,µð¹Ù°É½º,623,0,¾î¸±Àû ²ÞÀº??,0
3329,µð¹Ù°É½º,624,0,±¸µ¶ÀÚ°¡ Çß´ø ¸»Áß Á¦ÀÏ ±â¾ï¿¡ ³²´Â ¸»Àº??,0
3330,µð¹Ù°É½º,625,0,"1. µÎºÐÀÇ ¼º°ÝÀÌ³ª »ýÈ° µîÀÇ Â÷ÀÌ´Â ¹«¾ùÀÎ°¡¿°?
2.µÎºÐÀÌ °¡Àå ½ÉÇÏ°Ô ½Î¿üÀ»¶§´Â ¾ðÁ¦ÀÎ°¡¿ä?
3.µÎºÐÀÌ µ·À» °¡Àå¸¹ÀÌ½èÀ»¶§´Â ¾ó¸¶¿´³ª¿ä?
µð¹Ù°É½º Àç¹Õ°Ôº¸°íÀÖ¾î¿©??",0
3331,µð¹Ù°É½º,626,0,µð¹ÙÁ¦´Ï´ÔÀÌ 2019 Àß»ñ´Ù ÅÛ¿¡¼­ ÁÖ±â·ÎÇÑ ½Å¹ßÀº ¹ÞÀ¸¼Ì³ª¿ä,0
3332,µð¹Ù°É½º,627,0,¾ð´Ïµé »óÈ²±Ø ¿µ»óµé º¸°í ÀÔ´öÇß´Âµ¥ ¿äÁòÀº ¿Ö »óÈ²±Ø ¿µ»óÀÌ Àß ¾È ¿Ã¶ó¿À´ÂÁö .. È¤½Ã¶óµµ ³ªÁß¿¡ ¿Ã¸± »ý°¢ÀÌ ÀÖÀ¸½ÅÁö ³Ê¹« ±Ã±ÝÇÏ°í ¾ð´Ïµé »óÈ²±Ø ¿µ»óÀÌ ³Ê¹« ±×¸®¿ö¿ä ¤Ð¤Ð¤Ð Æ¯È÷ ¹Ì¿ë½Ç »óÈ²±Ø.. ÃÖ¾Ö,0
3333,µð¹Ù°É½º,628,0,Á¦´Ï¾ð´Ï! ¾ð´Ï¿µ»óÀº ¾ð´Ï°¡ ÆíÁýÇØ¿ä?,0
3334,µð¹Ù°É½º,629,0,"´Ê°Ô µ¶¸³ÇÏ°Ô µÈ ÀÌÀ¯ ? 
À¯Æ©¹ö ÇÏ´Â °Å¿¡ ´ëÇÑ ÁÖº¯ »ç¶÷ÀÌ³ª °¡Á· ¹ÝÀÀ ?
À¯Æ©¹ö¸¦ ÇÏ°Ô µÈ °è±â ?
Åä¹Ì¸¦ ÇÏ°Ô µÈ ÀÌÀ¯ ?
ÀÌ¸§À» º»¸íÀ» ¾²Áö ¾Ê°í Á¦½ÃÄ«¶û Á¦´Ï¶ó´Â ÀÌ¸§À»  ¾²´Â ÀÌÀ¯ ?
Ã¤³Î ÀÌ¸§¿¡ ºÑ´Â µð¹Ù´Â ¹«½¼ ÀÇ¹ÌÀÎÁö ?
ÇØº¸°í ½ÍÀº ÄÁÅÙÃ÷ ?
Á¤È®ÇÑ ³ªÀÌ ?
¼­·Î¿¡°Ô ºÎ·¯¿î Á¡ ?
¼­·Î¿¡ ´ëÇØ ¾î¶»°Ô »ý°¢ÇÏ´ÂÁö ?
µð¹Ù°É½º Ã¤³ÎÀ» ¸¸µé°Ô µÈÀÌÀ¯ ?
¾ðÁ¦ ±îÁö À¯Æ©ºê¸¦ ÇÒ »ý°¢ÀÎÁö ?
¾ÕÀ¸·ÎÀÇ °èÈ¹ÀÌ³ª ¸ñÇ¥ ?
¿Ö ÀÌ·¸°Ô ¿ô ±ä Áö ?  
¡æ ÀÌ°Å ÁøÂ¥ ±Ã±ÝÇØ¿ä ¸ôÆù ÇÏ¸é¼­ º¸¸é ÀÚ²Ù ÅÍÁø´Ù°í¿ä",0
3335,µð¹Ù°É½º,630,0,»ç¹è´Ô °ü·Ã Áú¹® ¾îµð°¬³ª¿©¤Ð¤Ð,0
3336,µð¹Ù°É½º,631,0,"1.À¯Æ©ºê¸¦½ÃÀÛÇÑ°è±â°¡¹º°¡¿ä??
2.³ªÀÌ°¡¸îÀÌ¼¼¿ä
3.Áý¿¡Ä©¼ÖÀÌ¸î°ÔÀÎ°¡¿ä
4.º»¸íÀÌµð¹ÙÁ¦½ÃÄ«´ÔÀºÀÌ½ÂÁÖ(´Ô)µð¹ÙÁ¦´Ï´ÔÀºÀÌÇöÁÖ(´Ô)¸¸³ª¿©???",0
3337,µð¹Ù°É½º,632,0,ÆÒºÐµéÇÑÅ× ¹ÞÀº¼±¹°Áß °¡Àå ±â¾ï¿¡ ³²´Â¼±¹°Àº?,0
3338,µð¹Ù°É½º,633,0,¾ð´ÏµéÀÌ °¡Àå ÁÁ¾ÆÇÏ´Â È­ÀåÇ° º£½ºÆ® Å¾1¿ø ¹¹¿¹¿ä??!!,0
3339,µð¹Ù°É½º,634,0,½Ç¸íÀÌ ¹º°¡¿©,0
3340,µð¹Ù°É½º,635,0,"1.¾ð´Ï È¸»ç ÆíÁý±â ¹«¾ùÀ» ¾²³ª¿ä?
2.¶Ç ¸³½ºÆ½,ºí·¯¼Å·Î ¸®ºäÇÏ¼Ì´Ù¸é È¤½Ã °¡Áö°í°è½Å ÆÄµ¥³ª ¾ÆÀÌ¼¨µµ·Î´Â ¸®ºäÇÏ½Ç »ý°¢¾øÀ¸½Å°¡¿ä?
3.µÎºÐ´Ù ¹Ì±¹ ¾îµð¼­ À¯ÇÐÇÏ¼Ì³ª¿ä?",0
3341,µð¹Ù°É½º,636,0,µÑÀÌ´à¾Ò´Ù°í»ý°¢ÇÏ½Ã³ª¿ä?,0
3342,µð¹Ù°É½º,637,0,¾ð´Ï Àú »ç¶ûÇØ¿ä?,0
3343,µð¹Ù°É½º,638,0,Á¦´Ï´ÔÁ¦½ÃÄ«´Ô°áÈ¥°ú2¼¼´Â ¾ðÁ¦Âë?,0
3344,µð¹Ù°É½º,639,0,¿¹»µ¿ë,0
3345,µð¹Ù°É½º,640,0,µÎ ºÐ ³ªÀÌ Â÷ÀÌ°¡ ¾ó¸¶³ª ³ª½Ã´ÂÁö?,0
3346,µð¹Ù°É½º,641,0,¾ð´Ï ¼Ó¿ÊÇÏ¿ïÀÌ³ª °¡Àå ÁÁ¾ÆÇÏ´Â ¼Ó¿Ê °°Àº ÄÁÅÙÃ÷³ª »ý¸®Åë ÀÌ°Ü³»´Â ¹æ¹ý ¤Ð »ý¸®´ë ÃßÃµ ºÎÅ¹µå·Á¿ä ¤Ð¤Ð¤Ð ¾ð´ÏµéÀº ÁøÂ¥ µ¿³× ¾ð´Ï °°Àº ´À³¦ÀÌ¶ó ºÎÅ¹µå·Á¿ä ¤Ð¤Ð,0
3347,µð¹Ù°É½º,642,0,±Í½Å º¸¼Ì´øÀû ÀÖ¾î¿ä?,0
3348,µð¹Ù°É½º,643,0,‘p»ìÀÌ¿¹¿ä?,0
3349,µð¹Ù°É½º,644,0,"µÑÀÌ ¼­·Î 3ºÐ¾¿ ÄªÂùÇØÁÖ±â
¼­·Î ÃßÃµÇØÁÖ°í½ÍÀº È­ÀåÇ°",0
3350,µð¹Ù°É½º,645,0,"³ªÀÌ,Ç÷¾×Çü,Å° ³Ñ ±Ã±ÝÇØ",0
3351,µð¹Ù°É½º,646,0,"µð¹ÙÁ¦½ÃÄ«´ÔÀºµð¹ÙÁ¦´Ï´ÔÀÌ¸ÚÁö´Ù°í»ý°¢ÇÑÀûÀÖ³ª¿ä?ÀÖÀ¸¸é¾î¶³¶§¿ä?
µð¹ÙÁ¦´Ï´ÔÀºµð¹ÙÁ¦½ÃÄ«´ÔÀÌ¸ÚÁö´Ù°í»ý°¢ÇÑÀûÀÖ³ª¿ä?ÀÖÀ¸¸é¾î¶³¶§¿ä?
µð¹ÙÁ¦½ÃÄ«´Ô¸¸¾à ¹°¿¡Á¦½ÃÄ«´Ô¹Ý·Áµ¿¹°»ç¶ûÀÌ¿ÍÁ¦´Ï´ÔÀÌºüÁö¸é´©±¼¸ÕÀú±¸ÇÒ°Å¿¹¿ä?
µð¹ÙÁ¦´Ï´ÔÀº¸¸¾à¹°¿¡Á¦´Ï´Ô¹Ý·Áµ¿¹°º¸´Ï¿ÍÁ¦½ÃÄ«´ÔÀÌºüÁö¸é´©±¼¸ÕÀú±¸ÇÒ°Å¿¹¿ä?",0
3352,µð¹Ù°É½º,647,0,°¢ÀÚ °­¾ÆÁö »ç¶ûÀÌ º¸´Ï ÀÖÀÝ¾Æ¿ä ´Ù¹Ù°É½º Ã¤³Î¿¡ ³ª¿ÔÀ¸¸é Á¹°Ú¾î¿ä,0
3353,µð¹Ù°É½º,648,0,¼­·Î °¡Àå ²Ãº¸±â ½ÈÀ»¶§´Â ¾ðÁ¦¿¡¿ä?,0
3354,µð¹Ù°É½º,649,0,Åä¹Ì ³¡³ª°í ½´Å©¸²»§À» ¸Ô¾úÀÝ¾Æ¿ä.  ¸Ô°í ³­ µÚ Á÷¿øµéÀÇ ÇÑ ¸»ÀÌ³ª Çàµ¿ÀÌ ÀÖ³ª¿©?,0
3355,µð¹Ù°É½º,650,0,"1.»ýÀÏ ¾ðÁ¦¿¡¿©?
2.°áÈ¥ÇÒ»ý°¢ ÀÌ½á¿©?
3.µÑÀÌ Æò¼Ò¿¡ »çÀÌ°¡ ÁÁ³ª¿©?
4.±Ý¼ÕÀÌ¿¡¿© ¶Ë¼ÕÀÌ¿¡¿©?
5.½ÅÃ¼¿¡ ºñ¹ÐÀÌ ÀÖ³ª¿©?
ÀÖ´Ù¸é ¸î°³°í ¹º°¡¿©..?
6. µÑ´Ù ¼ºÇüÇØ½á¿©?
7.¼º°Ý ´©°¡ ´õÁ¶¾Æ¿©?
8.ÆÒ¹ÌÆÃ »ý°¢ ÀÌ½á¿©?
9.µð¹ÙÁ¦½ÃÄ«´Ô,µð¹ÙÁ¦½ÃÄ«´ÔÀº ¹Ì½ºÅ×¸®°ü·ÃÃ¤³ÎÀÌ ´õÁ¶¾Æ¿©,¿¹´É°ü·ÃÃ¤³ÎÀÌ ´õ Á¶¾Æ¿©?
10.Á¦´Ï´Ô Á¦´Ï´ÔÀº ÀÏ»ó(vrog)Ã¤³ÎÀÌ Á¶¾Æ¿©,¿¹´É Ã¤³ÎÀÌ Á¶¾Æ¿©?
11.µÑÀÌ µð¹Ù°É½º ±¸µ¶ÀÚ ¸î¸íÀÌ ¸ñÇ¥¿¡¿©?
12.¾ðÁ¦±îÁö À¯ÅúÃ¤³Î È°µ¿ÇÒ°Å¿¡¿ä?
13.À¯ÅúÁ¢À¸¸é ¹«½¼ÀÏÀ» ÇÏ°í½ÃÆÛ¿©?

¿©±â±îÁö¹Û¿¡ »ý°¢ÀÌ..¤Ì",0
3356,µð¹Ù°É½º,651,0,ÄÝ¶óº¸ ÇÏ°í ½ÍÀº À¯Æ©¹ö°¡ ÀÖ´Ù¸é?!?!,0
3357,µð¹Ù°É½º,652,0,º»¸í °ø°³ÇÏ½Ç °Ç°¡¿ä?,0
3358,µð¹Ù°É½º,653,0,"1.º¸´Ï¸¦ Å°¿ì°Ô µÈ °è±â!!
2µð¹ÙÁ¦´Ï´Ô ÀÌ»ç°£ Áý¿¡¼­ È¥ÀÚ»ç½Ã³ª¿ä??",0
3359,µð¹Ù°É½º,654,0,µÎºÐ °°ÀÌ µð¹Ù°É½º Ã¤³ÎÀ» ¿ÀÇÂÇÑ °è±â°¡ ¹º°¡¿ä???,0
3360,µð¹Ù°É½º,655,0,µð¹ÙÁ¦½ÃÄ«´ÔÀº ¿Ö Åä¿ä¹Ì½ºÅ×¸®·Î ÄÁÅÙÃ÷ ¹Ù²Û½Å°Å¿¡¿ä,0
3361,µð¹Ù°É½º,656,0,"¾Ç¼¼¼­¸®³ª ¿ÊµéÀº º¸Åë ¾îµð¼­ ±¸¸ÅÇÏ½Ã³ª¿µ??
±×¸®°í °¡Àå ÁÁ¾ÆÇÏ´Â À½½ÄÀº ¹«¾ùÀÎ°¡¿ä¿À",0
3362,µð¹Ù°É½º,657,0,µð¹Ù°É½º³¢¸® µ¥½Ìµð¹Ù ¸®ºäºÎÅ¹µå¸³´Ï´ç!!,0
3363,µð¹Ù°É½º,658,0,¾ð´ÏµéÀº ¿ÖÀÌ·¸°Ô ÀÌ»µ¿ä??,0
3364,µð¹Ù°É½º,659,0,¾îµð»ì°í ±â¸§ÀÌ¹¹¿¡¿ä?,0
3365,µð¹Ù°É½º,660,0,¼öÀÍÀº ¾ó¸¶Âë µÇ³ª¿ä?,0
3366,µð¹Ù°É½º,661,0,"°áÈ¥ÇÏ½Ç »ý°¢ ÀÖÀ¸¼¼¿ä,?",0
3367,µð¹Ù°É½º,662,0,Àü ³²Ä£ ¸î¸íÂë µÇ³ª¿ä?,0
3368,µð¹Ù°É½º,663,0,¾ð´Ïµé ³²Ä£ÀÖ¾î¿ä?,0
3369,µð¹Ù°É½º,664,0,"À¯Æ©ºê ÀÌ¸§¿Ö µð¹ÙÁ¦½ÃÄ«,µð¹ÙÁ¦´Ï ÀÎ°¡¿ä???????±Ã±ÝÇØ¿ä~~~~",0
3370,µð¹Ù°É½º,665,0,Á¦´Ï¾ð´Ï¶û ½ÃÄ«¾ð´Ï Èú ¾È½Å°í Å° ¸îÀÌ¿¡¿ä?,0
3371,µð¹Ù°É½º,666,0,1 À¯Æ©ºê ½ÃÀÛÇÑ °è±â°¡ ¹¹¿¡¿ä,0
3372,µð¹Ù°É½º,667,0,"1:¾ð´Ïµé Å°´Â ¸îÀÌ¿¡¿ä?
2:À¯Æ©ºê¸¦ ½ÃÀÛÇÑ ÀÌÀ¯
3:½ÃÄ« ¾ð´Ï°¡ °¡Áö°í ÀÖ´Â 10³âÂëµÈ ÇÎÅ© ºí·¯¼Å ¾ÆÁ÷µµ ÀÖ³ª¿©?
4:¾ð´Ïµé ¿¾³¯ ÀÏ±âÀåÀÌ ÀÖ¾î¿ä?
5:¼Ò¼Ó»ç°¡ ¾îµð¿¡¿ä?
6:¾ð´Ïµé Ã¹»ç¶û ¾ê±âÇØ ÁÖ¼¼¿ä!

¾ð´Ïµé ÄÚ·Î³ª Á¶½ÉÇÏ¼¼¿ä????",0
3373,µð¹Ù°É½º,668,0,"1. Á¤¸» À½½ÄÀÌ³ª ¹°°Ç¿¡ ºÒ¸¸ÀÌ ÀÖÀ¸¸é ±¤°í¿©µµ ´ÜÁ¡À» ¸»ÇÏ³ª¿ä?
2.¿Ö Ç×»ó µð¹Ù°É½º¿¡¼­ À½½ÄÀ» µå½Ç ¶§ Á¦´Ï´ÔÀÌ Á¦½ÃÄ«´Ô µå½Ç ¶§±îÁö ±â´Ù¸®½Ã´õ¶ó±¸¿ä.. ¿Ö ±×·¯´Â °Ç°¡¿ä?",0
3374,µð¹Ù°É½º,669,0,µð¹Ù °É½º ´Ô ÀÇ ÁøÂ¥ÀÌ¸§ÀÌ ¹¹¿¡¿ä?,0
3375,µð¹Ù°É½º,670,0,? ¿¾³¯ Àå·¡Èñ¸ÁÀÌ¿ë,0
3376,µð¹Ù°É½º,671,0,"1:¾ð´ÏµéžÍÄÉ¿¹»ÚÁÒ?
2: ÄÁÅÙÃ÷´ÂÁÖ·Î´©°¡¾î¶±ÇØ»ý°¢ÇØ³»³ª¿ä?
´ë´äÇØÁÖ¼¼¿ë!!
¾ð´Ïµé~
»ç¶ûÇØ¿ä~¢¾¢¾",0
3377,µð¹Ù°É½º,672,0,¾ð´Ïµé ³²Ä£ ¾ðÁ¦ »ç±Ð°Å¿¡¿ä?,0
3378,µð¹Ù°É½º,673,0,À¯Æ©ºêÇÏ°ÔµÈ ÀÌÀ¯°¡ ¹¹¿¡¿ä?,0
3379,µð¹Ù°É½º,674,0,Á¦ ÈÞ´ëÆù ¾îµðÀÖ¾î¿ä?,0
3380,µð¹Ù°É½º,675,0,ÁøÂ¥ µÑÀÌ  Ä£ÀÚ¸Å¿¡¿ä,0
3381,µð¹Ù°É½º,676,0,"1.À¯Æ©ºê½ÃÀÛÇÏ°Ô µÈ °è±â°¡ ¹«¾ùÀÎ°¡¿ä?
2.µÎºÐÀÌ¼­ ½Î¿ï¶§ ¾î¶»°Ô ½Î¿ö¿ä?¸Ó¸®Ã¤Àâ°í ½Î¿ö¿ä?
                  ¿äÃ»!
µÎºÐ´Ù °­¾ÆÁö Å°¿ì½ÃÀÝ¾Æ¿ä?±×·¯´Ï±î °­¾ÆÁöÂÊÀ¸·Î µÎºÐÀÌ¼­ ÄÁÅÙÃ÷¸¦ ÇØÁÖ½Ã¸é ¾ÈµÉ±î¿ê?",0
3382,µð¹Ù°É½º,677,0,¸î »ì ÀÌ¼¼¿ë?????,0
3383,µð¹Ù°É½º,678,0,¿µ»ó ¾ðÁ¦ºÎÅÍ ÂïÀ» »ý°¢ ÀÌ¿´¾î¿ä??,0
3384,µð¹Ù°É½º,679,0,³²Ä£ ÀÖÀ¸¼¼¿ä?,0
3385,µð¹Ù°É½º,680,0,µð¹Ù°É½º´ÔµéÀÇ ÃÖ¾Ö À¯Åõ¹ö°¡ ±Ã±ÝÇØ¿ä!,0
3386,µð¹Ù°É½º,681,0,ÆÐ¼ÇÀÇ ¿Ï¼ºÀº?,0
3387,µð¹Ù°É½º,682,0,µÎºÐ °¢ÀÚ ¾ó±¼º¸°í ¾î¶²»ý°¢ µé¾ú¾î¿ä?,0
3388,µð¹Ù°É½º,683,0,"µÎºÐ´Ù °áÈ¥ÇÒ»ý°¢ÀÌ ÀÖÀ¸½Å°¡¿ä??
±×¸®°í °áÈ¥ÈÄ¿¡µµ À¯Æ©ºê¸¦ ÇÏ½Ç »ý°¢ÀÌ ÀÖÀ¸½ÅÁö¿ä,,,??",0
3389,µð¹Ù°É½º,684,0,"1.»çÀÌ°¡ ¾öÃ» ÁÁ¾Æº¸ÀÌ´Âµ¥  ¿ÏÀüÅ©°Ô ½Î¿îÀû ÀÖ¾î¿ä?
2. µÎºÐ ÆÛ½º³ÎÄÃ·¯ ±Ã±ÝÇØ¿ä
3. µÎºÐÀº ÀÚ½Å°¨ ÀÚÁ¸°¨ ³ô¾Æº¸ÀÌ´Âµ¥¿ä ³·¾Ò´øÀûÀÌ ÀÖ³ª¿ä?
4. ÀÌ»óÇü ÃëÇâÀÌ ¾î¶»°Ô µÇ³ª¿ä¤¾",0
3390,µð¹Ù°É½º,685,0,µð¹ÙÁ¦½ÃÄ«´Ô ÇÏ°í µð¹ÙÁ¦´Ï´ÔÀº ¸î»ìÂ÷ÀÌ ³ª³ª¿ä?,0
3391,µð¹Ù°É½º,686,0,"¾Ñ ±×¸®°í Áú¹®Àº ¾Æ´ÏÁö¸¸ µÑÀÌ ½ºÅ¸ÀÏ¹Ù²ã¼­ ÇÏ·ç»ìÀÌ ÇØÁÖ¼¼¿ä!(¸ÞÀÌÅ©¾÷,¿Ê½ºÅ¸ÀÏ µîµî)",0
3392,µð¹Ù°É½º,687,0,ÈÞ´ëÆù ¹è°æÈ­¸éÀÌ ¹«¾ùÀÎ°¡¿ä?,0
3393,µð¹Ù°É½º,688,0,"1Á¦´Ï´ÔÀÌ¶û Á¦½ÃÄ«´ÔÀº ¸îÅ°·Î¿¡¿ä?
2°æ±âµµ ¾îµð¿¡ »ç½Ã³ª¿ä?
3´Ù´Ï½Ã´Â È¸»ç´Â ¾î¶²È¸»çÀÎ°¡¿ä?
4ÀÌ¹ø³âµµ ³ªÀÌ´Â?
Áú¹®ÀÎ ¾Æ´ÏÁö¸¸ ¿øÇÏ´ÂÁ¡:¸Ô¹æ ¸¹ÀÌÇØÁÖ¼¼¿ä!!¼îÇÎÇÏ¿ïµµ ¸¹ÀÌÇØÁÖ¼¼¿ä!!º¸µå°ÔÀÓµµ ÇØÁÖ¼¼¿ä!!½ÃÄ«´Ôµµ »ç¶ûÀÌÀÇ ´ëÇÑ ¿µ»ó Âï¾îÁÖ¼¼¿©!!¸¶Áö¸· ÇÒ¸»:µð¹ÙÁ¦½ÃÄ«´Ô µð¹ÙÁ¦´Ï´Ô ÀÌ¹ø¿¬µµµµ ÈïÇÏ½Ã°í ÄÚ·Î³ª Á¶½ÉÇÏ½Ã°í ½Î¶ûÇØ¿ä????????????",0
3394,µð¹Ù°É½º,689,0,Ä©¼Ö ¾ÆÁ÷µµ °°ÀÌ ¾²½Ã³ª¿ë?,0
3395,µð¹Ù°É½º,690,0,Áú¹®À» ÇÏ°í½ÍÀºµ¥ ¾ø´Ù...,0
3396,µð¹Ù°É½º,691,0,Áö¿ªÀÌ¾îµò°¡¿ä,0
